ts_code,code,name_x,last_price,pre_close,open,volume,amount,quote_time,pct_change,high,low,turnover_rate,pe_ttm,pb,source,run_ts,quote_date,trade_date,history_trade_date,history_close,name_y,industry,market,gap_days,hist_ret_close_1d,hist_ret_close_3d,hist_ret_close_5d,close_ma5_ratio,close_ma10_ratio,hist_close_range_pos_5d,hist_close_drawdown_10d,hist_close_vol_5d,hist_overnight_prev_1d,hist_overnight_prev_3d_mean,hist_overnight_prev_5d_mean,hist_overnight_prev_5d_std,hist_overnight_positive_rate_5d,is_new_listing_180d,prev_limit_move_like_1d,prev_soft_outlier_1d,name,live_return_vs_prev_close,live_return_vs_pre_close,live_range_pos,from_day_high,from_day_low,live_px_ma5_ratio,live_px_ma10_ratio,live_near_limit_move_like,live_soft_outlier,live_intraday_pullback
000408.SZ,408,藏格矿业,70.16,68.05,68.06,132416.0,91740.0,15:47:30,3.1,70.93,67.65,0.84,23.53,6.24,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,91.01,藏格矿业,农药化肥,主板,1,0.025695931477516,0.0084210526315791,0.0308075659757616,0.0175309138883299,0.0344520739773708,1.0,0.0,0.0219773153736341,-0.0071001915924716,-0.005517197719883,-0.0026609183807943,0.0062542371294065,0.2,False,False,False,藏格矿业,-0.22909570376881672,0.031006612784717058,0.7652439024390214,-0.010855773297617555,0.03710273466371006,-0.21558104693544422,-0.2025364519255869,False,True,False
000425.SZ,425,徐工机械,8.46,8.22,8.14,1370355.0,114217.0,15:47:33,2.92,8.56,7.91,1.53,15.03,1.59,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,10.3,徐工机械,工程机械,主板,1,0.0258964143426296,0.0553278688524592,0.033099297893681,0.0380971578310824,0.032477947072975,1.0,0.0,0.0219837734079211,0.0766932270916336,0.0248813489212549,0.0141020433404302,0.0351844665371206,0.4,False,False,False,徐工机械,-0.1786407766990291,0.029197080291970767,0.8461538461538468,-0.011682242990654124,0.06953223767383077,-0.14734932473291673,-0.15196471531676037,False,True,False
000538.SZ,538,云南白药,48.53,47.0,46.93,133541.0,63916.0,15:47:15,3.26,48.57,46.29,0.75,16.47,2.2,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,53.04996405023398,云南白药,中成药,主板,1,-0.0038293216630196,0.0036744442403087,0.0027533039647578,0.0024956875986346,-0.0027746340038697,0.6250000000000098,-0.0160302593659941,0.0059881787576176,-0.0061998541210794,-0.0020052193788506,-0.0006501713419785,0.0034022832305262,0.4,False,False,False,云南白药,-0.08520201909946523,0.032553191489361755,0.9824561403508776,-0.000823553633930385,0.04839058111903216,-0.08291896912327579,-0.08774024868394315,False,True,False
000568.SZ,568,泸州老窖,76.21,75.2,75.0,193818.0,146807.0,15:47:42,1.34,77.26,73.37,1.32,11.28,2.17,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,101.73,泸州老窖,白酒,主板,1,0.0152694610778443,-0.0087693656825488,0.0148643256185156,0.0037295761307127,0.0047308174734077,0.629629629629632,-0.0128093158660843,0.0158023845721275,0.0029940119760478,-0.0026057037946399,-0.0029101557521817,0.0067382698375453,0.6,False,False,False,泸州老窖,-0.25086011992529256,0.013430851063829685,0.7300771208226192,-0.013590473725084262,0.038707918767888705,-0.24806614571000085,-0.24731607589060844,False,True,False
000596.SZ,596,古井贡酒,78.84,78.97,78.17,53874.0,42677.0,15:47:54,-0.16,81.62,76.28,1.32,14.75,1.6,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,109.15,古井贡酒,白酒,主板,1,0.0239212007504692,-0.0031963470319633,0.0402172877156199,0.0082395758281144,0.0204844847090943,0.8070652173913057,-0.0064627707991988,0.0290895801601658,-0.0076923076923076,-0.0065158080193287,-0.0036166105680572,0.0067049922513332,0.2,False,False,False,古井贡酒,-0.27769125057260646,-0.001646194757502828,0.47940074906367053,-0.03406027934329825,0.03356056633455684,-0.271739732860389,-0.26289512803971604,False,True,False
000617.SZ,617,中油资本,6.68,6.64,6.66,714111.0,47443.0,15:47:57,0.6,6.74,6.5,0.56,18.39,0.8,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,9.49,中油资本,多元金融,主板,1,0.0160599571734476,0.0237324703344121,0.028169014084507,0.0121587030716723,0.0082872928176795,1.0,-0.0246659815005139,0.0152522481943653,0.0010706638115631,-0.0007095541343942,-0.0006286302654201,0.0028918934489157,0.6,False,False,False,中油资本,-0.2961011591148578,0.006024096385542244,0.7499999999999981,-0.008902077151335397,0.027692307692307683,-0.28754266211604107,-0.29026774330641725,False,True,False
000625.SZ,625,长安汽车,7.23,6.86,6.81,1814888.0,127118.0,15:47:09,5.39,7.24,6.66,2.2,23.32,0.93,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,9.69,长安汽车,汽车整车,主板,1,-0.0041109969167524,-0.0221997981836529,-0.031,-0.0146430750457595,-0.0249547192594082,0.0,-0.0453201970443351,0.0047390707908316,-0.0041109969167524,-0.0064513274538479,-0.0052701970717093,0.0045270392302551,0.0,False,False,False,长安汽车,-0.2538699690402476,0.05393586005830908,0.9827586206896556,-0.0013812154696132284,0.0855855855855856,-0.26479560707748606,-0.27248943449386165,False,True,False
000630.SZ,630,铜陵有色,6.37,6.22,6.24,4074871.0,257124.0,15:47:24,2.41,6.41,6.22,3.66,32.48,2.32,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,6.33,铜陵有色,铜,主板,1,0.0144230769230768,0.0063593004769475,-0.0306278713629403,0.0063593004769475,-0.0062794348508632,1.0,-0.0306278713629403,0.0182364942968865,-0.0432692307692308,-0.0181326688679629,-0.0109578725475941,0.0198331163218823,0.2,False,False,False,铜陵有色,0.006319115323854652,0.02411575562700974,0.7894736842105265,-0.006240249609984372,0.02411575562700974,0.012718600953895098,2.220446049250313e-16,False,False,False
000651.SZ,651,格力电器,37.92,37.02,37.45,697858.0,263149.0,15:47:12,2.43,38.19,37.05,1.26,7.28,1.4,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,40.47,格力电器,家用电器,主板,1,0.0528095733610822,0.0905416329830235,0.0955603681645913,0.0622604861147566,0.0776194914125949,1.0,0.0,0.0212567277174363,0.0403225806451614,0.0116539778140662,0.0062348402284028,0.0191210437737502,0.4,False,False,False,格力电器,-0.06300963676797622,0.024311183144246407,0.7631578947368457,-0.0070699135899449095,0.02348178137651824,-0.004672161268307939,0.009719078684596205,False,False,False
000661.SZ,661,长春高新,67.75,62.8,62.76,154812.0,102376.0,15:47:48,7.88,68.49,61.09,3.87,-658.19,1.24,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,85.46,长春高新,生物制药,主板,1,-0.0016355140186915,0.0008197681227308,-0.01837813002527,0.0002809120277165,-0.0102495801725636,0.6862745098039036,-0.0321630804077011,0.0080588091407202,-0.001518691588785,-0.0008198073965899,-0.0010326193796312,0.001833538124972,0.4,False,False,False,长春高新,-0.20723145331149073,0.07882165605095537,0.9000000000000006,-0.010804497006862257,0.10901947945653956,-0.2070087550915306,-0.21535699808906128,False,True,False
