ts_code,trade_date,close,open,high,low,ret_close_1d,ret_close_3d,ret_close_5d,close_ma5_ratio,close_ma10_ratio,close_range_pos_5d,close_drawdown_10d,close_vol_5d,overnight_prev_1d,overnight_prev_3d_mean,overnight_prev_5d_mean,overnight_prev_5d_std,overnight_positive_rate_5d,name,industry,market,gap_days,is_new_listing_180d,prev_limit_move_like_1d,prev_soft_outlier_1d,turnover_rate,volume_ratio,pe,pb,total_mv,circ_mv,pre_close
688009.SH,2026-06-26,4.87,4.89,4.94,4.82,-0.0061224489795919,-0.026,-0.0121703853955374,-0.0141700404858298,-0.014967637540453,0.1785714285714283,-0.0450980392156862,0.0179857195613281,-0.0020408163265307,0.0013361213337793,0.0008016728002676,0.0020567291946833,0.4,中国通号,运输设备,科创板,1,False,False,False,,,,,,,4.87
688082.SH,2026-06-26,414.0,404.71,427.99,392.05,0.002494127902753,0.0354918586328505,0.0930693069306931,0.0323674629694279,0.1293855760548432,0.739893106756201,-0.0438357429904383,0.0278475280015986,-0.0200014528900405,-0.0258189652664481,-0.0278806860695038,0.0154249388936441,0.0,盛美上海,半导体,科创板,1,False,False,False,,,,,,,414.0
688041.SH,2026-06-26,344.9,355.0,358.0,337.93,-0.0426890196513822,0.0880126182965299,0.052005490315693,0.0225743137871126,0.0793201753699699,0.5914561790133918,-0.0653116531165312,0.05221084016773,-0.0146552681247917,-0.0061608936072942,-0.0044021881561473,0.0085922643551539,0.4,海光信息,半导体,科创板,1,False,False,False,,,,,,,344.9
688036.SH,2026-06-26,56.81,55.24,57.72,54.37,0.0226822682268228,0.0160972992309069,0.0616707157540648,0.0221670445140165,0.0342630352461406,0.7954070981210862,-0.0169579512026301,0.0319684287037205,-0.0055805580558054,-0.0008209427844874,0.0022982747653113,0.008126495689184,0.6,传音控股,通信设备,科创板,1,False,False,False,,,,,,,56.81
688111.SH,2026-06-26,200.03,212.0,212.03,200.0,-0.061332707648991,-0.0714849371025391,-0.0797294810452705,-0.065856574449405,-0.0699004477757681,0.0010928961748634,-0.120553967905034,0.0421905280664295,-0.0051618958235569,-0.0051279858751667,-0.0069186680708825,0.0045646461695728,0.0,金山办公,软件服务,科创板,1,False,False,False,,,,,,,200.03
688065.SH,2026-06-26,47.62,49.57,49.57,46.72,-0.0445425361155699,-0.0662745098039215,0.0751862722962293,-0.0451555983317293,0.0125236546107885,0.5204872646733106,-0.0833493743984601,0.0739539824063619,-0.0054173354735153,-0.0021377838032567,-0.0023067615434665,0.0049693691595896,0.2,凯赛生物,化工原料,科创板,1,False,False,False,,,,,,,47.62
688126.SH,2026-06-26,34.86,33.89,36.06,32.36,0.0465325728009606,0.0819366852886405,0.0826086956521738,0.0445882775979862,0.0781887912903624,0.7864768683274017,-0.0332778702163062,0.0407835911721739,0.0174121885319722,-0.0001206890837834,0.0016364855768282,0.0242189096540239,0.6,沪硅产业,半导体,科创板,1,False,False,False,,,,,,,34.86
688012.SH,2026-06-26,413.0,397.0,423.8,393.24,0.0347505825169744,0.1110513289572796,0.1472222222222221,0.0646579947308452,0.1493005406999878,0.8358662613981761,-0.0254837187352524,0.0176750187415007,-0.005336607120487,-0.0056864275991233,0.003249254551637,0.0193457047878306,0.4,中微公司,半导体,科创板,1,False,False,False,,,,,,,413.0
688223.SH,2026-06-26,4.7,4.86,5.05,4.7,-0.0368852459016393,-0.0329218106995885,-0.0766208251473477,-0.0388548057259712,-0.0672752530263942,0.0,-0.1312384473197781,0.0295485359906827,-0.0040983606557376,-0.0034237333873035,-0.0063581292497701,0.0052172372777754,0.2,晶科能源,电气设备,科创板,1,False,False,False,,,,,,,4.7
688256.SH,2026-06-26,1458.0,1482.0,1518.98,1415.0,-0.0312292358803987,0.0318471337579617,-0.0328101574834489,0.000550371329085,0.0417678901127795,0.5055292259083728,-0.0532467532467532,0.0350004704358235,-0.0152823920265781,-0.0060832094084337,-0.0078408445728106,0.0083581755386923,0.2,寒武纪,半导体,科创板,1,False,False,False,,,,,,,1458.0
688363.SH,2026-06-26,33.92,35.59,35.88,33.92,-0.0479932641032837,-0.0760010896213565,-0.0431593794076163,-0.0461728811652887,-0.0547582555385259,0.0,-0.1005038451339167,0.0291285671452111,-0.0011226494527083,-0.0020994502988188,-0.0028788773261366,0.0032296856981335,0.0,华熙生物,医疗保健,科创板,1,False,False,False,,,,,,,33.92
688187.SH,2026-06-26,59.63,60.0,63.27,58.8,-0.0135649296939619,-0.0316661253653782,0.0158432708688245,-0.0172714987310061,0.0171949097608405,0.2152380952380957,-0.0646274509803921,0.0198493620479149,-0.0074441687344913,-0.0042608369469191,-0.0004546831215575,0.0114531097441706,0.4,时代电气,运输设备,科创板,1,False,False,False,,,,,,,59.63
688303.SH,2026-06-26,17.46,17.77,18.36,17.46,-0.0185497470489037,-0.0771670190274841,-0.0906249999999999,-0.0517054095155332,-0.1005563568926436,0.0,-0.2428447528187336,0.0347625170576732,-0.0011242270938729,0.0001177797558047,-0.0023961810655719,0.0089669433132713,0.4,大全能源,电气设备,科创板,1,False,False,False,,,,,,,17.46
688472.SH,2026-06-26,10.67,11.06,11.31,10.6,-0.0246800731261425,-0.0335144927536231,-0.0473214285714285,-0.0315846796151751,-0.0432209469153515,0.0679611650485439,-0.0833333333333333,0.028753807573989,0.0109689213893968,0.0033668513067462,0.000797167061104,0.0056530601701699,0.4,阿特斯,电气设备,科创板,1,False,False,False,,,,,,,10.67
688169.SH,2026-06-26,91.59,95.01,95.94,91.59,-0.0453408380237647,-0.0354886267902273,-0.0583941605839415,-0.0327384095469427,-0.0588972688600728,0.0,-0.1235406698564592,0.0349590036221537,-0.0096935584740461,-0.0051707804686125,-0.0055049004183313,0.0036736698292266,0.0,石头科技,家用电器,科创板,1,False,False,False,,,,,,,91.59
688599.SH,2026-06-26,13.71,14.19,14.83,13.71,-0.0255863539445628,-0.0072411296162201,-0.0525224602626123,-0.021552954610334,-0.0402520126006299,0.1578947368421059,-0.1137685843568195,0.030261147653943,0.0085287846481876,0.0035691339897123,-0.0030880916200169,0.0091310023309036,0.4,天合光能,电气设备,科创板,1,False,False,False,,,,,,,13.71
688271.SH,2026-06-26,98.23,101.4,101.88,98.23,-0.0322167487684729,-0.0418454935622316,-0.050734441437959,-0.0346325451579297,-0.0738261361493493,0.0,-0.1495238095238095,0.0148643885771009,-0.0009852216748768,0.0035682597910908,-0.0005797304009355,0.0107212575579556,0.2,联影医疗,医疗保健,科创板,1,False,False,False,,,,,,,98.23
688396.SH,2026-06-26,84.72,83.5,88.85,82.0,0.0,0.0491770795923169,0.1520417737527026,0.0257974994369738,0.1125965576745786,0.6894970302984739,-0.0464828362408553,0.0279027848475522,-0.0144003777148252,-0.0097195238930979,0.0001372204322978,0.0169417487805656,0.2,华润微,半导体,科创板,1,False,False,False,,,,,,,84.72
