ts_code,trade_date,close,open,high,low,ret_close_1d,ret_close_3d,ret_close_5d,close_ma5_ratio,close_ma10_ratio,close_range_pos_5d,close_drawdown_10d,close_vol_5d,overnight_prev_1d,overnight_prev_3d_mean,overnight_prev_5d_mean,overnight_prev_5d_std,overnight_positive_rate_5d,name,industry,market
000100.SZ,2026-06-26,5.4,5.36,5.67,5.29,0.011235955056179803,0.11340206185567037,0.08000000000000007,0.06173810460086515,0.09378164877455974,0.7065217391304353,-0.04761904761904756,0.04942903583841567,0.0037453183520599342,0.012932288247937537,0.00975536493273046,0.02098798956222215,0.6,TCL科技,元器件,主板
000338.SZ,2026-06-26,27.95,29.25,29.5,27.66,-0.035208836727649295,-0.07019294743845639,-0.07111997341309406,-0.05548796972154624,-0.045488696127313766,0.06387665198237863,-0.13198757763975166,0.032020056829066425,0.009665170866413497,0.0013504241194255047,0.007761277401587141,0.013210011107477309,0.8,潍柴动力,汽车配件,主板
000568.SZ,2026-06-26,75.2,78.31,79.24,75.2,-0.04057157438121961,-0.04653226828959045,-0.07080192759174597,-0.037353746895721796,-0.06863837903445524,0.0,-0.13123844731977818,0.02519386541176162,-0.0008930849706556554,-0.0027940702933703467,-0.005155145233172354,0.003429448769020626,0.0,泸州老窖,白酒,主板
000157.SZ,2026-06-26,7.31,7.31,7.46,7.26,-0.004087193460490468,-0.009485094850948506,-0.03562005277044866,-0.013228941684665263,-0.022857906696965635,0.1379310344827574,-0.06402048655569781,0.02597457491170255,-0.004087193460490468,-0.0004385531851100281,-0.001076505879008338,0.005324756059999288,0.4,中联重科,工程机械,主板
000538.SZ,2026-06-26,47.0,47.14,47.48,46.67,-0.0031813361611876534,-0.03152689058314451,-0.029527152591368955,-0.016612963970372818,-0.03385614734721565,0.1272084805653709,-0.08346333853354138,0.008782967873447225,-0.0002120890774124362,-0.0011204549146697589,-0.0014962553254745715,0.0012046496250931477,0.0,云南白药,中成药,主板
000301.SZ,2026-06-26,11.39,11.57,11.88,11.17,-0.012998266897746857,-0.04205214465937768,-0.0172562553925798,-0.03458213256484144,-0.0503585125896282,0.16058394160583997,-0.11773818745158793,0.03390100413171008,0.0025996533795495935,-0.0016174267616757925,-0.000515311660242368,0.005887867839175366,0.6,东方盛虹,化纤,主板
000002.SZ,2026-06-26,3.01,2.96,3.13,2.93,0.02033898305084736,-0.02588996763754048,-0.016339869281045805,-0.005287508261731855,-0.01762402088772852,0.419354838709677,-0.06230529595015577,0.02360389521528764,0.003389830508474523,-0.0022370598641785477,-0.004599701820194713,0.006147333374842,0.2,万科Ａ,全国地产,主板
000333.SZ,2026-06-26,78.55,76.88,78.94,76.61,0.026797385620914937,0.006148328423210003,0.007051282051282026,0.012164007937530474,-0.0036404226441899556,0.7044198895027608,-0.07217103708953465,0.016354193359554608,0.004967320261437758,0.003535231667180172,0.00012214787050450758,0.005112958644749339,0.6,美的集团,家用电器,主板
000001.SZ,2026-06-26,10.23,10.42,10.47,10.19,-0.018234165067178454,-0.04481792717086841,-0.027566539923954303,-0.02608530083777605,-0.04446104987857269,0.05555555555555679,-0.09066666666666667,0.0140352164970673,0.0,-0.0022023398639506495,-0.0013214039183703896,0.0016492787805336704,0.0,平安银行,银行,主板
000661.SZ,2026-06-26,62.8,65.2,66.04,62.78,-0.042828837067520276,-0.04384896467722299,-0.020280811232449292,-0.033013057403301405,-0.03308749942262368,0.12125162972620582,-0.09692263445499005,0.022998032159706274,-0.0062490474013107145,-0.0024449256872940417,-0.002435730944124992,0.004403782242167793,0.4,长春高新,生物制药,主板
000425.SZ,2026-06-26,8.22,8.24,8.47,8.19,-0.0024271844660194164,-0.055172413793103336,-0.08565072302558396,-0.03814650128715169,-0.07171089779785433,0.03603603603603689,-0.13655462184873934,0.034012136820493366,0.0,3.403660314704737e-05,-0.003292542418929334,0.005006009529358601,0.2,徐工机械,工程机械,主板
000625.SZ,2026-06-26,6.86,6.98,6.99,6.83,-0.024182076813655695,-0.05639614855570829,-0.07919463087248324,-0.03489026449071464,-0.06181619256017501,0.042253521126760916,-0.1193838254172015,0.013581601137786014,-0.007112375533428139,-0.004286455612501035,-0.005813046405142908,0.003621336143688586,0.2,长安汽车,汽车整车,主板
000063.SZ,2026-06-26,35.67,37.79,37.79,35.67,-0.07206035379812681,-0.06156274664561945,-0.058590657165478954,-0.056199396729639695,-0.05150636849522694,0.0,-0.10060514372163376,0.0461117294977762,-0.016909469302809566,-0.0057441297301380105,-0.004170211469889473,0.01134097003666243,0.4,中兴通讯,通信设备,主板
000596.SZ,2026-06-26,78.97,80.8,82.82,78.93,-0.026263871763255175,-0.00891064257028118,-0.033533227267164345,-0.014082748632924691,-0.043842549430325284,0.3003048780487802,-0.10768361581920904,0.029605261342635615,-0.0036991368680641123,-0.002447151834406247,-0.003730604730759346,0.0037290425442500267,0.2,古井贡酒,白酒,主板
000651.SZ,2026-06-26,37.02,37.17,37.34,36.8,-0.003767491926802813,-0.006974248927038573,0.008169934640523069,-0.002478982539340535,-0.00779930851491506,0.543478260869567,-0.04167745275692469,0.005891621344915242,0.0002691065662003833,-0.0028629895921491455,-0.0005278855129982718,0.004223988184173172,0.6,格力电器,家用电器,主板
000630.SZ,2026-06-26,6.22,6.76,6.79,6.19,-0.06886227544910184,-0.12885154061624648,-0.1869281045751635,-0.1091377828702379,-0.14147688060731534,0.017142857142856776,-0.22443890274314215,0.05100074393722213,0.011976047904191711,-0.01775232057539115,-0.009802460927354373,0.020338645070293378,0.4,铜陵有色,铜,主板
000617.SZ,2026-06-26,6.64,6.96,7.0,6.64,-0.05681818181818188,-0.09078460906476793,-0.06780850765127056,-0.06362815884476525,-0.07483523986011076,0.0,-0.1346279160693341,0.040967807648026426,-0.011363636363636354,-0.008584531835118833,-0.006516246474458631,0.0029802997800453352,0.0,中油资本,多元金融,主板
000069.SZ,2026-06-26,1.63,1.66,1.71,1.63,-0.01807228915662651,-0.07386363636363646,-0.08426966292134841,-0.04117647058823537,-0.07386363636363658,0.0,-0.14210526315789473,0.016542175204667806,0.0,-0.003968253968253954,-0.004634491389395224,0.004422935299384415,0.0,华侨城Ａ,全国地产,主板
000708.SZ,2026-06-26,12.95,13.29,13.33,12.95,-0.029235382308845592,-0.032137518684604016,-0.04286770140428675,-0.027923735174898656,-0.04575933976862423,0.0,-0.08931082981715899,0.016372758428491972,-0.0037481259370315545,-0.004257671576623712,-0.003735753450411483,0.002470189971767459,0.0,中信特钢,特种钢,主板
000725.SZ,2026-06-26,7.79,7.5,8.24,7.36,0.03590425531914909,0.15066469719350084,0.18931297709923678,0.07954545454545459,0.1678109915150061,0.7305389221556885,-0.054611650485436924,0.03467481996487066,-0.0026595744680850686,0.007925265830943032,0.010079944976023048,0.022576187351212015,0.4,京东方Ａ,元器件,主板
000733.SZ,2026-06-26,58.33,60.28,60.58,57.58,-0.042200328407224985,0.03900961881011744,-0.024418799130289326,0.0005145797598626878,0.03275495750708224,0.4410413476263397,-0.05888996450467887,0.04908216043802425,-0.010180623973727432,-0.003691211243009307,-0.0026701391370335115,0.007283433992191153,0.4,振华科技,元器件,主板
000776.SZ,2026-06-26,22.35,23.02,23.52,22.22,-0.03414001728608462,-0.04159519725557459,0.08284883720930236,-0.021196461417184675,0.022228320526893608,0.5028089887640453,-0.0733830845771144,0.053963250942200176,-0.005185825410544576,-0.005490813780289372,0.004916760579280544,0.01579100961806412,0.4,广发证券,证券,主板
000768.SZ,2026-06-26,19.91,19.95,20.12,19.57,-0.004997501249375369,-0.025929549902152682,-0.025929549902152682,-0.018631703470031513,-0.04366203948316438,0.21935483870967723,-0.123293703214443,0.02009767295619779,-0.002998500749625266,-0.004292330913714282,-0.0030979659062752908,0.0050255339313418,0.2,中航西飞,航空,主板
000786.SZ,2026-06-26,18.08,18.39,18.66,18.04,-0.017925040738729026,-0.029522275899087513,-0.08316430020283982,-0.028479312197743245,-0.07712725230973416,0.023255813953487844,-0.1511737089201879,0.016842513422620116,-0.0010863661053774898,-0.0010859729218432035,-0.0012590113686315573,0.0014719605528549955,0.2,北新建材,其他建材,主板
000792.SZ,2026-06-26,28.91,29.97,30.51,28.88,-0.04366523321204108,-0.00618769336541769,-0.028235294117647025,-0.0380007986157328,-0.05448717948717963,0.21515151515151537,-0.11805979255643684,0.05648143848349188,-0.008600727753886872,-0.007727164037895233,-0.012974491960171686,0.015095195878417114,0.2,盐湖股份,农药化肥,主板
000807.SZ,2026-06-26,22.48,23.96,24.19,22.28,-0.04705383637134375,-0.06059339740910985,-0.06992139015308241,-0.06822515128906581,-0.10144695819010296,0.052770448548812486,-0.21944444444444444,0.06333357880088426,0.01568461212378125,-0.003953687858454291,-0.00757277440273354,0.02223722386583082,0.4,云铝股份,铝,主板
