ts_code,code,name_x,last_price,pre_close,open,volume,amount,quote_time,pct_change,high,low,turnover_rate,pe_ttm,pb,source,run_ts,quote_date,trade_date,history_trade_date,history_close,name_y,industry,market,gap_days,hist_ret_close_1d,hist_ret_close_3d,hist_ret_close_5d,close_ma5_ratio,close_ma10_ratio,hist_close_range_pos_5d,hist_close_drawdown_10d,hist_close_vol_5d,hist_overnight_prev_1d,hist_overnight_prev_3d_mean,hist_overnight_prev_5d_mean,hist_overnight_prev_5d_std,hist_overnight_positive_rate_5d,is_new_listing_180d,prev_limit_move_like_1d,prev_soft_outlier_1d,name,live_return_vs_prev_close,live_return_vs_pre_close,live_range_pos,from_day_high,from_day_low,live_px_ma5_ratio,live_px_ma10_ratio,live_near_limit_move_like,live_soft_outlier,live_intraday_pullback
000001.SZ,1,平安银行,10.05,10.24,10.22,1111353.0,112120.0,16:14:51,-1.86,10.22,10.04,0.57,4.53,0.43,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,11.52,平安银行,银行,主板,1,0.0052356020942407,0.0472727272727271,0.0491803278688522,0.0220014194464157,0.0324430901595267,1.0,0.0,0.0141466813466796,-0.0026178010471205,0.0085415765695303,0.0047613095780818,0.0141412253809493,0.2,False,False,False,平安银行,-0.12760416666666652,-0.0185546875,0.05555555555556378,-0.016634050880626194,0.0009960159362552012,-0.10841022001419442,-0.09930094999103767,False,True,False
000002.SZ,2,万  科Ａ,2.96,3.04,3.02,1093686.0,32588.0,16:14:51,-2.63,3.04,2.95,1.13,-0.4,0.32,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,3.87,万科Ａ,全国地产,主板,1,0.032,0.032,-0.0025773195876288,0.0232681121099946,0.0041515308770108,1.0,-0.0227272727272727,0.0203350773331731,0.0026666666666665,0.0017777777777776,2.6268365938740545e-05,0.0026339253506147,0.4,False,False,False,万科Ａ,-0.23514211886304914,-0.02631578947368418,0.11111111111110891,-0.02631578947368418,0.003389830508474523,-0.2173453199365415,-0.23196678775298407,False,True,False
000063.SZ,63,中兴通讯,36.19,35.2,35.19,1215484.0,438676.0,16:14:06,2.81,36.59,35.1,3.02,38.69,2.26,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,36.42,中兴通讯,通信设备,主板,1,0.0113857261871703,0.0010995052226496,-0.0246384574183181,-0.0044828340258036,0.006021766753218,0.3280000000000029,-0.0246384574183181,0.022700942321103,-0.0052763121355178,-0.0093990434497262,-0.0079089665206711,0.0047365471772453,0.0,False,False,False,中兴通讯,-0.006315211422295519,0.028124999999999956,0.7315436241610703,-0.010931948619841592,0.031054131054131018,-0.01076973540345516,-0.00033147339925976294,False,False,False
000069.SZ,69,华侨城Ａ,1.64,1.66,1.65,406095.0,6619.0,16:14:15,-1.2,1.66,1.61,0.59,-0.91,0.39,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,2.25,华侨城Ａ,全国地产,主板,1,0.0368663594470046,0.0416666666666665,0.0227272727272727,0.0292772186642269,0.0227272727272727,1.0,0.0,0.0197773283934869,0.0,0.0,-0.000921658986175,0.002060892145161,0.0,False,False,False,华侨城Ａ,-0.2711111111111112,-0.012048192771084376,0.5999999999999982,-0.012048192771084376,0.01863354037267073,-0.24977127172918578,-0.25454545454545463,False,True,False
000100.SZ,100,TCL科技,5.82,5.29,5.35,11718305.0,665640.0,16:14:21,10.02,5.82,5.33,6.12,23.92,1.99,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,4.32,TCL科技,元器件,主板,1,0.0140845070422537,0.0212765957446807,-0.0068965517241378,0.0107627515208239,0.0032512772875059,1.0,-0.0114416475972539,0.0160329205799395,-0.004694835680751,-0.0023529672915348,-0.001881263942996,0.0019649994554326,0.0,False,False,False,TCL科技,0.3472222222222221,0.10018903591682427,1.0,0.0,0.09193245778611625,0.3617220402433321,0.3516024152345565,True,True,False
000157.SZ,157,中联重科,6.97,7.21,7.18,963222.0,67751.0,16:14:18,-3.33,7.24,6.94,1.36,13.91,1.03,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,8.11,中联重科,工程机械,主板,1,0.0024721878862792,0.0150187734668334,0.0062034739454093,0.0107178464606179,0.0042100049529467,1.0,-0.0109756097560975,0.0113827242690211,-0.0135970333745364,-0.0053730338234582,-0.0042238202940749,0.0056355313566048,0.0,False,False,False,中联重科,-0.1405672009864365,-0.03328710124826628,0.09999999999999792,-0.037292817679558055,0.004322766570605152,-0.13135593220338992,-0.13694898464586436,False,True,False
000166.SZ,166,申万宏源,4.4,4.46,4.45,1481334.0,65620.0,16:14:45,-1.35,4.53,4.36,0.66,11.14,0.96,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,4.74,申万宏源,证券,主板,1,0.0128205128205129,0.0237580993520518,0.0106609808102344,0.016295025728988,0.0097997443544952,1.0,-0.0021052631578947,0.0100688529413176,0.0,0.0007215007215006,2.792906018659648e-06,0.001525601744847,0.2,False,False,False,申万宏源,-0.07172995780590719,-0.013452914798206206,0.23529411764705913,-0.028697571743929284,0.00917431192660545,-0.05660377358490576,-0.06263314870046843,False,False,False
000301.SZ,301,东方盛虹,11.45,11.3,11.2,294774.0,32813.0,16:14:48,1.33,11.49,10.8,0.45,61.79,2.18,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,13.26,东方盛虹,化纤,主板,1,0.0153139356814699,0.0650602409638554,0.0263157894736842,0.0359374999999999,0.0551444258772977,1.0,0.0,0.0248696361736498,-0.0252679938744256,-0.0084226646248085,-0.0055403397085438,0.011134216294128,0.2,False,False,False,东方盛虹,-0.13650075414781304,0.01327433628318575,0.942028985507245,-0.003481288076588429,0.06018518518518512,-0.10546875000000011,-0.08888358398981455,False,True,False
000333.SZ,333,美的集团,75.53,77.27,76.52,577509.0,440200.0,16:14:51,-2.25,78.66,75.31,0.84,13.01,2.82,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,81.31,美的集团,家用电器,主板,1,0.0106898694841517,0.0207130303791112,0.0253467843631778,0.0144222371934028,0.0218675380168404,1.0,0.0,0.0068554476425791,0.0012430080795524,-0.0015527768236407,-0.0016832487037589,0.0026822667055816,0.2,False,False,False,美的集团,-0.07108596728569672,-0.022518441827358515,0.06567164179104455,-0.03979150775489437,0.00292125879697247,-0.05768894877361075,-0.050772904360940174,False,False,False
000338.SZ,338,潍柴动力,27.25,26.19,26.63,1329556.0,363788.0,16:14:27,4.05,28.08,26.5,2.68,20.88,2.48,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,30.15,潍柴动力,汽车配件,主板,1,0.0023271276595744,0.0189253126056099,0.0775553967119371,0.0119487145062764,0.0610966425001759,1.0,0.0,0.022213988684679,-0.002659574468085,0.0013646275298543,0.0121181569066076,0.0216472903961001,0.8,False,False,False,潍柴动力,-0.09618573797678276,0.040473463153875455,0.474683544303798,-0.029558404558404527,0.028301886792452935,-0.08538631939316632,-0.04096572112338981,False,True,False
000408.SZ,408,藏格矿业,69.32,70.16,69.4,126280.0,87071.0,16:14:03,-1.2,70.09,68.21,0.8,23.24,6.16,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,91.01,藏格矿业,农药化肥,主板,1,0.025695931477516,0.0084210526315791,0.0308075659757616,0.0175309138883299,0.0344520739773708,1.0,0.0,0.0219773153736341,-0.0071001915924716,-0.005517197719883,-0.0026609183807943,0.0062542371294065,0.2,False,False,False,藏格矿业,-0.2383254587407978,-0.011972633979475567,0.5904255319148903,-0.010985875303181736,0.01627327371353182,-0.22497260794704954,-0.21208419109865573,False,True,False
000425.SZ,425,徐工机械,8.09,8.46,8.42,1439332.0,117298.0,16:14:39,-4.37,8.45,8.05,1.6,14.38,1.52,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,10.3,徐工机械,工程机械,主板,1,0.0258964143426296,0.0553278688524592,0.033099297893681,0.0380971578310824,0.032477947072975,1.0,0.0,0.0219837734079211,0.0766932270916336,0.0248813489212549,0.0141020433404302,0.0351844665371206,0.4,False,False,False,徐工机械,-0.21456310679611657,-0.043735224586288535,0.09999999999999823,-0.04260355029585794,0.004968944099378758,-0.18464019350937322,-0.18905372894947903,False,True,False
000538.SZ,538,云南白药,47.37,48.53,48.48,95586.0,45566.0,16:14:18,-2.39,48.65,47.27,0.54,16.08,2.15,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,53.04996405023398,云南白药,中成药,主板,1,-0.0038293216630196,0.0036744442403087,0.0027533039647578,0.0024956875986346,-0.0027746340038697,0.6250000000000098,-0.0160302593659941,0.0059881787576176,-0.0061998541210794,-0.0020052193788506,-0.0006501713419785,0.0034022832305262,0.4,False,False,False,云南白药,-0.10706819791349009,-0.023902740572841585,0.07246376811593815,-0.026310380267214772,0.0021155066638458564,-0.10483971908859635,-0.10954575685469592,False,True,False
000568.SZ,568,泸州老窖,77.52,76.21,75.52,170240.0,130574.0,16:14:54,1.72,78.28,75.1,1.16,11.47,2.21,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,101.73,泸州老窖,白酒,主板,1,0.0152694610778443,-0.0087693656825488,0.0148643256185156,0.0037295761307127,0.0047308174734077,0.629629629629632,-0.0128093158660843,0.0158023845721275,0.0029940119760478,-0.0026057037946399,-0.0029101557521817,0.0067382698375453,0.6,False,False,False,泸州老窖,-0.23798289590091426,0.017189345230284703,0.761006289308175,-0.009708737864077777,0.0322237017310254,-0.2351408950982714,-0.23437793206980673,False,True,False
000596.SZ,596,古井贡酒,79.8,78.84,78.0,34786.0,27257.0,16:14:15,1.22,80.0,77.1,0.85,14.93,1.61,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,109.15,古井贡酒,白酒,主板,1,0.0239212007504692,-0.0031963470319633,0.0402172877156199,0.0082395758281144,0.0204844847090943,0.8070652173913057,-0.0064627707991988,0.0290895801601658,-0.0076923076923076,-0.0065158080193287,-0.0036166105680572,0.0067049922513332,0.2,False,False,False,古井贡酒,-0.2688960146587266,0.0121765601217656,0.9310344827586199,-0.0025000000000000577,0.035019455252918386,-0.26287202793327047,-0.2539197262502454,False,True,False
000617.SZ,617,中油资本,6.59,6.68,6.63,607332.0,40015.0,16:14:57,-1.35,6.66,6.52,0.48,18.14,0.79,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,9.49,中油资本,多元金融,主板,1,0.0160599571734476,0.0237324703344121,0.028169014084507,0.0121587030716723,0.0082872928176795,1.0,-0.0246659815005139,0.0152522481943653,0.0010706638115631,-0.0007095541343942,-0.0006286302654201,0.0028918934489157,0.6,False,False,False,中油资本,-0.3055848261327714,-0.013473053892215536,0.5,-0.010510510510510551,0.010736196319018454,-0.2971416382252561,-0.2998300042498937,False,True,False
000625.SZ,625,长安汽车,7.17,7.23,7.17,1098080.0,79084.0,16:14:18,-0.83,7.42,7.11,1.33,23.13,0.92,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,9.69,长安汽车,汽车整车,主板,1,-0.0041109969167524,-0.0221997981836529,-0.031,-0.0146430750457595,-0.0249547192594082,0.0,-0.0453201970443351,0.0047390707908316,-0.0041109969167524,-0.0064513274538479,-0.0052701970717093,0.0045270392302551,0.0,False,False,False,长安汽车,-0.26006191950464397,-0.008298755186722073,0.1935483870967732,-0.03369272237196763,0.00843881856540074,-0.2708968883465527,-0.27852686657275083,False,True,False
000630.SZ,630,铜陵有色,6.36,6.37,6.25,3370825.0,211309.0,16:14:21,-0.16,6.42,6.15,3.03,32.43,2.32,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,6.33,铜陵有色,铜,主板,1,0.0144230769230768,0.0063593004769475,-0.0306278713629403,0.0063593004769475,-0.0062794348508632,1.0,-0.0306278713629403,0.0182364942968865,-0.0432692307692308,-0.0181326688679629,-0.0109578725475941,0.0198331163218823,0.2,False,False,False,铜陵有色,0.004739336492890933,-0.0015698587127158659,0.7777777777777789,-0.009345794392523255,0.034146341463414664,0.011128775834658322,-0.0015698587127156438,False,False,False
000651.SZ,651,格力电器,37.5,37.92,38.0,575456.0,216493.0,16:14:27,-1.11,38.4,37.27,1.04,7.2,1.38,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,40.47,格力电器,家用电器,主板,1,0.0528095733610822,0.0905416329830235,0.0955603681645913,0.0622604861147566,0.0776194914125949,1.0,0.0,0.0212567277174363,0.0403225806451614,0.0116539778140662,0.0062348402284028,0.0191210437737502,0.4,False,False,False,格力电器,-0.07338769458858407,-0.011075949367088667,0.2035398230088476,-0.0234375,0.0061711832573114744,-0.015696362013754017,-0.0014645187058978104,False,False,False
000661.SZ,661,长春高新,66.6,67.75,67.5,90351.0,59855.0,16:14:12,-1.7,67.94,65.43,2.26,-647.02,1.22,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,85.46,长春高新,生物制药,主板,1,-0.0016355140186915,0.0008197681227308,-0.01837813002527,0.0002809120277165,-0.0102495801725636,0.6862745098039036,-0.0321630804077011,0.0080588091407202,-0.001518691588785,-0.0008198073965899,-0.0010326193796312,0.001833538124972,0.4,False,False,False,长春高新,-0.22068804118886032,-0.01697416974169752,0.4661354581673274,-0.019723285251692757,0.017881705639614554,-0.22046912308628697,-0.22867566159013264,False,True,False
000708.SZ,708,中信特钢,12.62,12.97,12.92,187708.0,23697.0,16:14:24,-2.7,13.0,12.47,0.37,10.52,1.5,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,15.48,中信特钢,特种钢,主板,1,0.0065019505851755,0.0006464124111182,-0.0549450549450548,0.0015527950310558,-0.0368941703477881,0.5106382978723402,-0.0813056379821959,0.0202561856387408,0.0006501950585175,0.0012973375606643,-0.0008401430032162,0.0030355806334181,0.6,False,False,False,中信特钢,-0.18475452196382436,-0.02698535080956066,0.28301886792452596,-0.029230769230769282,0.01202886928628688,-0.18348861283643902,-0.21483232750575487,False,True,False
000725.SZ,725,京东方Ａ,8.68,7.95,8.15,51878997.0,4455678.0,16:14:21,9.18,8.75,8.11,14.67,54.04,2.4,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,4.17,京东方Ａ,元器件,主板,1,0.0048192771084336,0.0096852300242131,-0.0234192037470725,0.0,0.0028860028860029,0.5,-0.0234192037470725,0.0162075834816339,-0.002409638554217,1.922651525853326e-05,-0.0014115021037338,0.0036471330235664,0.2,False,False,False,京东方Ａ,1.0815347721822541,0.09182389937106916,0.8906249999999997,-0.008000000000000007,0.07028360049321836,1.0815347721822541,1.0875420875420878,False,True,False
000733.SZ,733,振华科技,56.64,55.44,55.52,320939.0,179412.0,16:14:48,2.16,56.93,53.92,5.79,31.94,2.02,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,43.54,振华科技,元器件,主板,1,-0.070254110612855,-0.0700555318240068,-0.0870203396938561,-0.0582688065060343,-0.0688025322411617,0.0,-0.0870203396938561,0.0309909627906447,-0.0647021140294683,-0.0214260685312301,-0.0122186031258602,0.0293501996504289,0.6,False,False,False,振华科技,0.3008727606798347,0.02164502164502169,0.9036544850498341,-0.005093975057087641,0.05044510385756684,0.22507245749881077,0.21136942062151132,False,True,False
