ts_code,code,name_x,last_price,pre_close,open,volume,amount,quote_time,pct_change,high,low,turnover_rate,pe_ttm,pb,source,run_ts,quote_date,trade_date,history_trade_date,history_close,name_y,industry,market,gap_days,hist_ret_close_1d,hist_ret_close_3d,hist_ret_close_5d,close_ma5_ratio,close_ma10_ratio,hist_close_range_pos_5d,hist_close_drawdown_10d,hist_close_vol_5d,hist_overnight_prev_1d,hist_overnight_prev_3d_mean,hist_overnight_prev_5d_mean,hist_overnight_prev_5d_std,hist_overnight_positive_rate_5d,is_new_listing_180d,prev_limit_move_like_1d,prev_soft_outlier_1d,name,live_return_vs_prev_close,live_return_vs_pre_close,live_range_pos,from_day_high,from_day_low,live_px_ma5_ratio,live_px_ma10_ratio,live_near_limit_move_like,live_soft_outlier,live_intraday_pullback,overnight_live_score,live_score_component__hist_ret_close_1d,live_score_component__hist_ret_close_3d,live_score_component__hist_ret_close_5d,live_score_component__live_px_ma5_ratio,live_score_component__live_px_ma10_ratio,live_score_component__hist_close_range_pos_5d,live_score_component__hist_close_drawdown_10d,live_score_component__hist_close_vol_5d,live_score_component__hist_overnight_prev_1d,live_score_component__hist_overnight_prev_3d_mean,live_score_component__hist_overnight_prev_5d_mean,live_score_component__hist_overnight_prev_5d_std,live_score_component__hist_overnight_positive_rate_5d,live_score_component__live_return_vs_prev_close,live_score_component__live_range_pos,live_score_component__from_day_high,live_score_component__gap_days,live_score_component__is_new_listing_180d,live_score_component__prev_limit_move_like_1d,live_score_component__prev_soft_outlier_1d,rank_in_live_day,live_reject_reasons,live_pass_risk_filter,final_live_score,agent_score,agent_adjustment,agent_veto,agent_risk_level,agent_reason,rank_in_final_live_day
600886.SH,600886,国投电力,13.31,13.35,13.29,285556.0,37760.0,16:14:23,-0.3,13.33,13.13,0.38,14.33,1.54,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,13.61,国投电力,水力发电,主板,1,0.000735294117647,0.0179506357516829,0.00740192450037,0.008297525559342,0.0110690141891387,1.0,-0.0043891733723482,0.0090048857258215,-0.0080882352941176,-0.0044390464633145,-0.0031075433480108,0.0029077606247491,0.0,False,False,False,国投电力,-0.02204261572373245,-0.0029962546816478808,0.9000000000000018,-0.0015003750937734317,0.013709063214013772,-0.013927989331752877,-0.011217591560805373,False,False,False,0.7543827160493828,0.2962962962962963,0.6512345679012346,0.5864197530864198,0.23148148148148148,0.22530864197530864,0.8055555555555556,0.7037037037037037,0.8117283950617284,0.7839506172839507,0.7222222222222222,0.7345679012345679,0.7407407407407407,0.9120370370370371,0.7746913580246914,0.9259259259259259,0.9660493827160493,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,1.0,,True,0.7543827160493828,,0.0,False,,,1.0
000301.SZ,301,东方盛虹,11.45,11.3,11.2,294774.0,32813.0,16:14:48,1.33,11.49,10.8,0.45,61.79,2.18,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,13.26,东方盛虹,化纤,主板,1,0.0153139356814699,0.0650602409638554,0.0263157894736842,0.0359374999999999,0.0551444258772977,1.0,0.0,0.0248696361736498,-0.0252679938744256,-0.0084226646248085,-0.0055403397085438,0.011134216294128,0.2,False,False,False,东方盛虹,-0.13650075414781304,0.01327433628318575,0.942028985507245,-0.003481288076588429,0.06018518518518512,-0.10546875000000011,-0.08888358398981455,False,True,False,0.7190432098765432,0.7037037037037037,0.9166666666666666,0.7453703703703703,0.4567901234567901,0.39197530864197533,0.8055555555555556,0.8765432098765432,0.3148148148148148,0.9567901234567902,0.8487654320987654,0.8395061728395061,0.2777777777777778,0.6327160493827161,0.48148148148148145,0.9598765432098766,0.9382716049382716,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,2.0,,True,0.7190432098765432,,0.0,False,,,2.0
688256.SH,688256,寒武纪,1595.55,1482.0,1488.41,16221628.0,2548702.0,16:14:37,7.66,1620.0,1488.37,2.58,368.97,81.91,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,1416.63,寒武纪,半导体,科创板,1,0.0306511458712259,0.0474158964879853,0.0595587135377713,0.0380751390446041,0.0486137584153432,1.0,0.0,0.0161136726461032,-0.0061840669334303,-0.0033875060568173,-0.0026960123185414,0.0020574598934386,0.0,False,False,False,寒武纪,0.12629973952266993,0.0766194331983805,0.8142520701967635,-0.015092592592592657,0.07201166376640211,0.16918375871089708,0.1810534029630888,False,True,False,0.7130246913580248,0.845679012345679,0.8611111111111112,0.8827160493827161,0.12037037037037036,0.12037037037037036,0.8055555555555556,0.8765432098765432,0.5555555555555556,0.6975308641975309,0.6728395061728395,0.691358024691358,0.845679012345679,0.9120370370370371,0.8734567901234568,0.8179012345679012,0.5401234567901234,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,3.0,,True,0.7130246913580248,,0.0,False,,,3.0
000630.SZ,630,铜陵有色,6.36,6.37,6.25,3370825.0,211309.0,16:14:21,-0.16,6.42,6.15,3.03,32.43,2.32,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,6.33,铜陵有色,铜,主板,1,0.0144230769230768,0.0063593004769475,-0.0306278713629403,0.0063593004769475,-0.0062794348508632,1.0,-0.0306278713629403,0.0182364942968865,-0.0432692307692308,-0.0181326688679629,-0.0109578725475941,0.0198331163218823,0.2,False,False,False,铜陵有色,0.004739336492890933,-0.0015698587127158659,0.7777777777777789,-0.009345794392523255,0.034146341463414664,0.011128775834658322,-0.0015698587127156438,False,False,False,0.7057870370370372,0.6820987654320988,0.49691358024691357,0.1882716049382716,0.19444444444444445,0.2037037037037037,0.8055555555555556,0.3888888888888889,0.5,0.9814814814814815,0.9629629629629629,0.9475308641975309,0.1111111111111111,0.6327160493827161,0.8148148148148148,0.7623456790123457,0.7623456790123457,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,4.0,,True,0.7057870370370372,,0.0,False,,,4.0
300059.SZ,300059,东方财富,20.38,20.1,19.95,4303483.0,867221.0,16:14:33,1.39,20.57,19.74,3.22,24.6,3.36,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,20.26,东方财富,证券,创业板,1,0.0049603174603174,0.0284263959390864,0.0039643211100099,0.0131013101310131,0.0126911123515962,1.0,0.0,0.0122670352006691,-0.0069444444444444,-0.0012806164878923,-0.0019634462816553,0.0053676276620908,0.2,False,False,False,东方财富,0.005923000987166693,0.013930348258706315,0.7710843373493965,-0.00923675255226064,0.03242147922998995,0.019101910191019034,0.018689282809749796,False,False,False,0.7050154320987655,0.43209876543209874,0.7469135802469136,0.5524691358024691,0.1882716049382716,0.17592592592592593,0.8055555555555556,0.8765432098765432,0.6635802469135802,0.7469135802469136,0.4783950617283951,0.6265432098765432,0.5092592592592593,0.6327160493827161,0.8179012345679012,0.7530864197530864,0.7685185185185185,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,5.0,,True,0.7050154320987655,,0.0,False,,,5.0
603833.SH,603833,欧派家居,30.11,30.39,30.2,28293.0,8428.0,16:14:17,-0.92,30.29,29.38,0.46,9.95,1.03,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,48.8,欧派家居,家居用品,主板,1,0.0514975220857574,0.0418445772843723,0.0014364867638005,0.0331103395715133,0.0048388757335529,1.0,-0.0388024423872366,0.0313644002881317,-0.0086188321482438,-0.0199441264660919,-0.0130516937119808,0.017491456856562,0.0,False,False,False,欧派家居,-0.38299180327868854,-0.009213557091148461,0.8021978021978026,-0.005942555298778518,0.024846834581347954,-0.3625624523668388,-0.38000617728817043,False,True,False,0.7031790123456789,0.941358024691358,0.8240740740740741,0.5277777777777778,0.9907407407407407,0.9938271604938271,0.8055555555555556,0.3055555555555556,0.2006172839506173,0.7962962962962963,0.9753086419753086,0.9753086419753086,0.14506172839506173,0.9120370370370371,0.009259259259259259,0.8024691358024691,0.8641975308641975,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,6.0,,True,0.7031790123456789,,0.0,False,,,6.0
603799.SH,603799,华友钴业,48.26,47.68,47.11,549591.0,261372.0,16:14:24,1.22,48.58,46.3,2.91,12.42,1.85,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,67.66,华友钴业,小金属,主板,1,0.0447807288449659,0.0444581661006482,0.0452649467016839,0.0386221294363258,0.0347939129769823,1.0,0.0,0.0382191273327011,-0.0179122915379864,-0.0058025183351423,-0.0032046792608245,0.0135386297089023,0.4,False,False,False,华友钴业,-0.2867277564292049,0.012164429530201248,0.8596491228070174,-0.006587072869493671,0.04233261339092875,-0.25917966351467514,-0.26191022405750564,False,True,False,0.7018827160493825,0.9166666666666666,0.8425925925925926,0.8302469135802469,0.8703703703703703,0.8672839506172839,0.8055555555555556,0.8765432098765432,0.11728395061728394,0.9382716049382716,0.7962962962962963,0.7407407407407407,0.22530864197530864,0.3317901234567901,0.06790123456790123,0.8765432098765432,0.8364197530864198,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,7.0,,True,0.7018827160493825,,0.0,False,,,7.0
300274.SZ,300274,阳光电源,159.02,155.64,154.99,741792.0,1161597.0,16:14:24,2.17,160.26,152.34,4.67,27.64,6.98,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,138.07,阳光电源,电气设备,创业板,1,0.0629763646162138,0.0319904327677704,0.0084727193046527,0.0340153376070937,0.0283547961836097,1.0,0.0,0.0343976904617741,-0.0068519516513971,-0.022002654530221,-0.0131426866286303,0.0184205964088608,0.2,False,False,False,阳光电源,0.15173462736293208,0.021716782318170313,0.8434343434343456,-0.007737426681642234,0.043849284495208085,0.19091126954646231,0.18439182797941367,False,True,False,0.7008796296296297,0.9691358024691358,0.7685185185185185,0.5987654320987654,0.11728395061728394,0.11728395061728394,0.8055555555555556,0.8765432098765432,0.1574074074074074,0.7376543209876543,0.9876543209876543,0.9814814814814815,0.1388888888888889,0.6327160493827161,0.8858024691358025,0.8611111111111112,0.8209876543209876,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,8.0,,True,0.7008796296296297,,0.0,False,,,8.0
605499.SH,605499,东鹏饮料,123.43,121.99,122.82,131198.0,160755.0,16:15:00,1.18,124.24,119.74,1.94,19.31,4.76,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,208.33,东鹏饮料,软饮料,主板,1,0.0597721029606266,0.0418583716743348,0.0344091360476663,0.0346146205800557,0.0378618044138892,1.0,0.0,0.0319736013997289,-0.0034591514904873,-0.0017007386269541,-0.0025735055236562,0.0023409006403816,0.2,False,False,False,东鹏饮料,-0.4075265204243268,0.011804246249692785,0.8200000000000026,-0.006519639407598143,0.030816769667613153,-0.3870182757250694,-0.3850944054202162,False,True,False,0.6984104938271606,0.9660493827160493,0.8271604938271605,0.7932098765432098,1.0,0.9969135802469136,0.8055555555555556,0.8765432098765432,0.19135802469135801,0.5246913580246914,0.5401234567901234,0.6759259259259259,0.8179012345679012,0.6327160493827161,0.0030864197530864196,0.8302469135802469,0.8425925925925926,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,9.0,,True,0.6984104938271606,,0.0,False,,,9.0
600362.SH,600362,江西铜业,43.3,44.49,43.51,526664.0,226779.0,16:14:01,-2.67,43.9,42.55,2.54,18.75,1.78,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,46.38,江西铜业,铜,主板,1,0.0474254742547426,0.0354989953114535,0.0093579978237214,0.0311249444197423,0.013327507100721,1.0,-0.0177890724269376,0.0280704143521743,-0.006323396567299,-0.0050102324346901,-0.0021859173205664,0.0090647241509547,0.2,False,False,False,江西铜业,-0.06640793445450632,-0.02674758372668029,0.555555555555555,-0.013667425968109326,0.01762632197414815,-0.03734993330369041,-0.053965479571772,False,False,False,0.6983487654320988,0.9351851851851852,0.7839506172839507,0.6172839506172839,0.2654320987654321,0.32098765432098764,0.8055555555555556,0.5555555555555556,0.25617283950617287,0.7098765432098766,0.7623456790123457,0.6419753086419753,0.3395061728395062,0.6327160493827161,0.6790123456790124,0.5216049382716049,0.595679012345679,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,10.0,,True,0.6983487654320988,,0.0,False,,,10.0
